Candidate Name,Office,Region,Question Order,Question,Answer,URL
Chelsea Dimas,14th District Representative Pos 1,Benton County,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"A visible homegrown leader, ready to work for YOUA champion of human rights and proudly fighting for the working classPutting the people first and building a community where we ALL thrive in District 14",https://ballotpedia.org/Chelsea_Dimas
Chelsea Dimas,14th District Representative Pos 1,Benton County,3,What areas of public policy are you personally passionate about?,"Workers rights, immigrant and refugee rights, human rights, affordable, education, healthcare, reproductive freedom, ending mass incarceration, racial equity, climate change and the environment, transportation, small businesses, cannabis justice",https://ballotpedia.org/Chelsea_Dimas
Chelsea Dimas,14th District Representative Pos 1,Benton County,4,What characteristics or principles are most important for an elected official?,"To always remember that they are pa la gente, for the people",https://ballotpedia.org/Chelsea_Dimas
Chelsea Dimas,14th District Representative Pos 1,Benton County,5,What was your very first job? How long did you have it?,"Working in agriculture, picking cherries along my family",https://ballotpedia.org/Chelsea_Dimas
Chelsea Dimas,14th District Representative Pos 1,Benton County,6,What organizations or individuals have endorsed your campaign?,"United Farm Workers, OneAmerica Votes, Sage Leaders, Yakima County Democrats, Franklin County Democrats, with more to be announced",https://ballotpedia.org/Chelsea_Dimas
Gabe Galbraith,8th District Senator,Benton County,1,Who are you? Tell us about yourself.,"I was born in 1983 at Kadlec Hospital in Richland and raised in Kennewick as the oldest of three siblings. My dad worked construction and long night shifts at IBP and lived with bipolar disorder. Watching how mental illness affected our family gave me a lasting sense of empathy and the importance of accountability and support. My mom worked more than 20 years at Albertsons in Richland, raising us through hard work and determination. I attended Kennewick School District schools and graduated from Kamiakin High School in 2001, where I met my wife, Stephanie. We married in 2002 and are raising three children. Stephanie is a fourth-grade teacher in Kennewick and previously coached swim and dive at Kamiakin for ten years. Her dedication to students and community inspires me daily. At 19, I learned I was going to be a father, which clarified my priorities. In 2003, I enlisted in the United States Marine Corps and served until 2007. Afterward, I worked in retail management, Amazon, healthcare administration, and Hanford-related roles. I’ve also supported disabled veterans and helped run a small family business. While working and raising a family, I earned degrees in accounting, business, and education. My life experiences have shaped my belief in service, stewardship, honest work, and leaving our community better than I found it. I currently serve as President of the Kennewick School Board, first elected in 2021 and re-elected in 2025.",https://ballotpedia.org/Gabe_Galbraith
Gabe Galbraith,8th District Senator,Benton County,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"Strong schools, local control. Parents and communities know best. I believe in strong schools, safer classrooms, and better student outcomes—while keeping education decisions local, not dictated by one-size-fits-all mandates from Olympia.Public safety comes first. Safe communities come before politics. I support holding criminals accountable, backing law enforcement, and putting victims first—while expanding effective treatment and recovery options to break cycles of addiction and crime.Lowering the Cost of Living. The government shouldn’t make life more expensive. I’m fighting to reduce taxes, fees, and regulations that drive up the cost of housing, fuel, child care, and everyday necessities—so working families can get ahead, not fall behind.",https://ballotpedia.org/Gabe_Galbraith
Gabe Galbraith,8th District Senator,Benton County,3,What areas of public policy are you personally passionate about?,"Education, Public Safety, Taxes, Jobs & Economy.",https://ballotpedia.org/Gabe_Galbraith
Gabe Galbraith,8th District Senator,Benton County,4,What organizations or individuals have endorsed your campaign?,Loren Anderson — Councilman / Kennewick City Council Brad Beauchump — Councilman / Kennewick City Council Joe Cotta — Councilman / Pasco City Council Leo Perales — Councilman / Pasco City Council David Cole — Councilman / W. Richland City Council Brittany Gledhill — School Board Director / Kennewick School Board Micah Valentine — School Board Director / Kennewick School Board Dr. Josh Miller — School Board Director / Kennewick School Board Will McKay — County Commissioner / Benton County,https://ballotpedia.org/Gabe_Galbraith
Liz Hallock,15th District Representative Pos 2,Benton County,1,Who are you? Tell us about yourself.,"Liz is a small business owner, attorney, mother of two, and essential worker.",https://ballotpedia.org/Liz_Hallock
Liz Hallock,15th District Representative Pos 2,Benton County,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,Healthcare for allMake Amazon a public utilityStrengthen Domestic Violence and Child Abuse Prevention and Reporting,https://ballotpedia.org/Liz_Hallock
Liz Hallock,15th District Representative Pos 2,Benton County,3,What areas of public policy are you personally passionate about?,"Liz is passionate about consumer protection, ending the war on drugs, and protecting women and children from abuse.",https://ballotpedia.org/Liz_Hallock
Liz Hallock,15th District Representative Pos 2,Benton County,4,"Who do you look up to? Whose example would you like to follow, and why?",I look up to regular people who have the courage of their convictions in extraordinary times.,https://ballotpedia.org/Liz_Hallock
Liz Hallock,15th District Representative Pos 2,Benton County,5,What is the first historical event that happened in your lifetime that you remember? How old were you at the time?,"Challenger explosion, 5.",https://ballotpedia.org/Liz_Hallock
Liz Hallock,15th District Representative Pos 2,Benton County,6,What was your very first job? How long did you have it?,"Deli cashier, 14.",https://ballotpedia.org/Liz_Hallock
Nikki Torres,8th District Senator,Benton County,1,Who are you? Tell us about yourself.,"I have resided in Pasco for more than 40 years. I am first generation Latina and first in my family to earn a college degree. As a child, I worked alongside my parents in agriculture which taught me the hard work ethic I have today. I attended pasco Schools and received an MBA from University of Phoenix. I have two daughters and three grandchildren. Currently, I am a Strategic Partnerships Manager for Western Governors University. Past President of Tri-Cities Hispanic Chamber of Commerce, Past Board member of: Visit Tri-Cities, Kennewick Police Foundation, and Tri-Cities Community Health. Served on WA Childcare Taskforce and AWB Grassroots Alliance. Volunteer history: Junior Achievement, Latino Heritage Mural, and Dia De Los Muertos Fun Run.",https://ballotpedia.org/Nikki_Torres
Nikki Torres,8th District Senator,Benton County,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,Public SafetyHousing AffordabilityWater Rights and Agriculture,https://ballotpedia.org/Nikki_Torres
Nikki Torres,8th District Senator,Benton County,3,What areas of public policy are you personally passionate about?,"Public safety, Housing Affordability, and Agriculture and Water Rights.",https://ballotpedia.org/Nikki_Torres
Nikki Torres,8th District Senator,Benton County,4,What is your favorite book? Why?,Black In Blue by Carmen Best. I admire her work ethic and perseverance as Seattle’s Former Police Chief.,https://ballotpedia.org/Nikki_Torres
Nikki Torres,8th District Senator,Benton County,5,What is something that has been a struggle in your life?,"As a Latina woman, it’s been challenging to have a seat at the table. I want to encourage women to serve on boards and to run for office.",https://ballotpedia.org/Nikki_Torres
Nikki Torres,8th District Senator,Benton County,6,Do you believe that it’s beneficial for state legislators to have previous experience in government or politics?,It can be beneficial but not necessary to get the job done because that is what matters to the voters.,https://ballotpedia.org/Nikki_Torres
Nikki Torres,8th District Senator,Benton County,7,Do you believe it’s beneficial to build relationships with other legislators? Please explain your answer.,I do believe it’s beneficial to build relationships with other legislators. We may have our differences but the only way to get things done in legislation is through a collaborative effort.,https://ballotpedia.org/Nikki_Torres
Nikki Torres,8th District Senator,Benton County,8,"If you are not a current legislator, are there certain committees that you would want to be a part of?","Ways and Means, Law & Justice, and Agriculture, Water, Natural Resources.",https://ballotpedia.org/Nikki_Torres
Nikki Torres,8th District Senator,Benton County,9,"Is there a particular legislator, past or present, whom you want to model yourself after?",Senator Jim Honeyford has been a great role model for almost three decades serving in the legislature. I admire his dedication to Washington and want to continue his legacy.,https://ballotpedia.org/Nikki_Torres
Nikki Torres,8th District Senator,Benton County,10,"Are you interested in running for a different political office (for example, the U.S. Congress or governor) in the future?",Not at this time.,https://ballotpedia.org/Nikki_Torres
Reedy Berg,15th District Representative Pos 2,Benton County,1,Who are you? Tell us about yourself.,"Reedy Berg, 37, was raised in the Yakima Valley. He graduated from Eisenhower High School and earned a bachelor's degree from Gonzaga University, where he pitched for the baseball team. After college, Reedy spent several years working in the Valley's agricultural industry, gaining firsthand knowledge of farming and the challenges facing local producers, experience that informs his commitment to representing the Yakima Valley. Driven by a passion for education, Reedy earned a master's degree from Heritage University and has taught history and civics at Toppenish Middle School since 2016, helping students understand government and their role in it. In 2024, voters elected Reedy to the Yakima City Council. In 2026, his fellow council members selected him to serve as Deputy Mayor. He and his wife Nicole are raising their two children, Reedy Jr. (8) and Sadie (6), in the Valley where their family roots run deep.",https://ballotpedia.org/Reedy_Berg
Reedy Berg,15th District Representative Pos 2,Benton County,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"EMPOWERING PARENTHOOD Parents are the primary stakeholders in their children's upbringing. The state does not raise our children — families do. Reedy believes parents have the right to know what their children are being taught, what medical decisions are being made, and what values are being promoted. Government has overstepped, and it is time to push back. Reedy will fight to restore and protect the fundamental right of parents to guide their children's lives without interference from Olympia.PROTECT & STRENGTHEN AGRICULTURE The H-2A guest worker program must be preserved and made practical for Valley farmers. Reedy supports expanding vocational training in farming, ranching, and agricultural fields to grow the workforce. He also supports giving farmers overtime flexibility, including raising the threshold to 48 hours or providing OT exemptions during peak harvest periods, so agriculture can operate the way the seasons demand.REPEAL THE CLIMATE COMMITMENT ACT The CCA has driven up the cost of everything: fuel, food, farming inputs. Washington was already the 5th cleanest state in America before this law passed. It's an unneeded regulation that punishes working families and Valley farmers without measurable benefit. Reedy will fight to repeal it.",https://ballotpedia.org/Reedy_Berg
Reedy Berg,15th District Representative Pos 2,Benton County,3,What areas of public policy are you personally passionate about?,"Agriculture,Education,Local Government",https://ballotpedia.org/Reedy_Berg
Reedy Berg,15th District Representative Pos 2,Benton County,4,What organizations or individuals have endorsed your campaign?,Representative Jim Walsh LD19 Representative Jeremie Dufault LD15 Representative Gloria Mendoza LD14 Representative Deb Manjarrez LD14 Yakima Mayor Matt Brown Juliet Potrykus Yakima City Council Rick Glenn Yakima City Council Leo Roy Yakima City Council Yakima County Republican Party Stand For Health Freedom,https://ballotpedia.org/Reedy_Berg
Chris Hollingsworth,Franklin County Assessor,Franklin County,1,Who are you? Tell us about yourself.,"I have been a real estate appraiser for over 20 years and have a Supervisor designation from the DOL. This designation qualifies me to train appraiser trainees and I have been part of the process of training multiple real estate appraisers. I am running for Assessor to bring the same level of expertise to the office through professional real estate training. Additionally, I will bring a level of service to the office that will work with the residents of Franklin County. As the Assessor, my goal is to ensure that the residents of Franklin County do not pay more than their share of the tax burden.","https://ballotpedia.org/Chris_Hollingsworth_(Franklin_County_Assessor,_Washington,_candidate_2026)"
Chris Hollingsworth,Franklin County Assessor,Franklin County,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"I will elevate professional real estate standards through advanced training. As a Certified Residential Appraiser with a Supervisor designation, I am uniquely qualified to train the assessor staff to become licensed or certified appraisers with the Department of Licensing. This directly benefit the residents of Franklin County by ensuring the Assessor's office will have a superior, expert-level understanding of the appraisal process. Additionally, this professional development provides the employees of the Assessor's office with valuable credentials to work as fee appraisers in other counties, after the conclusion of their training, as well as for the Assessors office in Franklin County.I will bring a higher level of service and transparency to the Assessor's office. Advanced training will empower the appraisers in the Assessor's office to communicate clearly with the residents, ensuring that everyone understands both the appraisal process as well as the final conclusion. When there is a dispute over the valuation of a property, the first response should be open dialogue and explanation not ""go file an appeal with the Board of Equalization."" I am committed to work with and serve the residents of Franklin County.As Assessor, my role is to ensure fairness, not to levy taxes. Many mistakenly view the Assessor as the ""taxman,"" but taxes are created by the County Commissioners approving taxing district's budgets, voters passing levies and bonds, and by the legislature in Olympia passing bills. The role of the assessor, amongst others, is to accurately and equitably value property throughout the county so that the tax burden is fairly distributed. In short, no one pays more or less than their rightful share. I wish I would be able to lower taxes, but that is not the role of assessor. I will, however, work diligently to make sure that the residents of Franklin County are not burdened by over taxation.","https://ballotpedia.org/Chris_Hollingsworth_(Franklin_County_Assessor,_Washington,_candidate_2026)"
Chris Hollingsworth,Franklin County Assessor,Franklin County,3,What areas of public policy are you personally passionate about?,"As a business owner and a fiscal conservative, I am passionate about tax reform, balanced budgets, and affordable housing. I am concerned that the American Dream of home ownership is slipping away for future generations as well as our seniors who are finding it harder afford the homes they already own. I am committed to ensure our valuation and taxing systems remains equitable and supportive of housing stability for all generations in Franklin County.","https://ballotpedia.org/Chris_Hollingsworth_(Franklin_County_Assessor,_Washington,_candidate_2026)"
Chris Hollingsworth,Franklin County Assessor,Franklin County,4,What organizations or individuals have endorsed your campaign?,"Tri-City Association of Realtors, Washington Farm Bureau PAC, State Representative April Connors, State Senator Perry Dozier, Pasco City Manager Gary Crutchfield (ret), Pasco Fire Chief Bob Gear (ret)","https://ballotpedia.org/Chris_Hollingsworth_(Franklin_County_Assessor,_Washington,_candidate_2026)"
Derek Sarley,16th District Representative Pos 2,Franklin County,1,Who are you? Tell us about yourself.,"For more than 25 years, I’ve worked in the business world, helping build a small PR startup into a 100-person firm serving clients across the country. I know exactly what small businesses face because I’ve lived it. For the last decade, I’ve also served on the Walla Walla School Board, where we’ve raised graduation rates, expanded student opportunities, modernized curriculum, increased family engagement, and earned recognition as Washington’s School Board of the Year. While many districts cut staff and programs, we kept budgets balanced and invested in what matters most: strong schools and student success. I’ve served four times as board president, represented Walla Walla at the state level as legislative representative, and recently completed my term as president of WSSDA, advocating for all 295 school districts in Washington. Those experiences, running a business, leading a school district, and navigating complex state policy, shape my commitment to representing every person in the 16th district.",https://ballotpedia.org/Derek_Sarley
Derek Sarley,16th District Representative Pos 2,Franklin County,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"I graduated from high school in the 1990s, at a time when the American Dream still felt real. The economy was booming, democracy was ascendant, and for young people like me, the path to a good life was clear: work hard, get an education, buy a home, and start a family. My own family lived that story. My mom left a dairy farm in Ohio to become a teacher. My dad worked summers at Bethlehem Steel to pay for college and later became a pastor. They taught my brother and me that if we worked hard enough, anything was possible. As my daughters approach their own adulthoods, that promise feels increasingly out of reach for far too many families.We have built an economy where the wealthy do well while working people fall further behind. Those outcomes come from decades of policy decisions that had their successes but whose failures are now impossible to ignore. You see signs of that struggle everywhere, especially in our schools, where kids show up hungry and working parents make so little that nearly 40 percent of SNAP recipients are in families with jobs. Economic precarity is fueling the divisions and resentments that are tearing our country apart. When people believe the game is rigged, they can be turned on one another, instead of against the systems that are failing them.Every generation inherits the responsibility to protect and renew the American Dream. Right now, we are not meeting that responsibility, and that is why I am running. I believe government should be focused on making it easier for people to build a good life in Washington. That means increasing housing supply, strengthening our workforce, investing in education and training, addressing healthcare costs, and building a tax system that does not place the heaviest burden on those least able to afford it. We need new, strong voices in Olympia who will fix our state budget mess and get Washington back to investing in what matters for the working families, farms, and small businesses that are the backbones of our Eastern Washington communities.",https://ballotpedia.org/Derek_Sarley
Derek Sarley,16th District Representative Pos 2,Franklin County,3,What areas of public policy are you personally passionate about?,"I am, first and foremost, an advocate for the people of this district. Their public policy concerns are my public policy concerns. What I hear over and over on the campaign trail is that people are struggling just to get by. Prices never seem to stop climbing. I am passionate about policies that expand opportunity and strengthen our communities. That means an economy that works for working people. Safe streets. Great schools. Affordable childcare so parents can work. A healthcare system that doesn’t seem designed to turn people down. A reasonable path to someday owning your own home.",https://ballotpedia.org/Derek_Sarley
Derek Sarley,16th District Representative Pos 2,Franklin County,4,What organizations or individuals have endorsed your campaign?,"Washington State Labor Council Washington Education Association Washington State Nurses Association Washington State Stonewall Democrats Democratic Parties of Benton, Franklin and Walla Walla Counties",https://ballotpedia.org/Derek_Sarley
John A Rosenau,Franklin County Assessor,Franklin County,1,Who are you? Tell us about yourself.,"My Education includes: Executive MBA M.Min, B.Th, I was raised in Franklin County in a farming family and graduated from Connell High School. I have more than 40 years of leadership in business, finance, and public service. Former First Vice President and Senior Regional Manager overseeing 500+ employees and 26 financial centers. Career includes law enforcement service from patrol officer to Chief of Police, pastoral leadership, and service on numerous boards and associations. Elected Assessor in 2021 and re-elected in 2022 with over 98% of the vote. Elected three years as Chair of the Southeast Washington Assessors and to the Washington State Association of County Assessors Executive Board.","https://ballotpedia.org/John_A._Rosenau_(Franklin_County_Assessor,_Washington,_candidate_2026)"
John A Rosenau,Franklin County Assessor,Franklin County,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"As your County Assessor and having been raised in Franklin County my focus is to deliver consistency, transparency, and professional service you can trust. Since taking office in 2021, we have strengthened training, improved consistency in valuations, and implemented clear standards that promote fairness and accountability. We have enhanced internal processes, increased responsiveness to taxpayers, and built one of the most professional and highly trained assessor offices in Washington State.I have worked with the Washington State Association of County Assessors to support responsible tax policy—advocating for fair and sustainable property tax relief, improved exemption programs for seniors, individuals with disabilities, farmers, and small business owners. These efforts ensure property values are applied equitably, reduce errors, and build public confidence in the system. I remain focused on steady leadership, proven results, and doing the job right.I am honored to have received Endorsements from 35 of the current County Assessors from across Washington and the Appraisers Union Local 2658 F AFSCME AFL-CIO along with dozens of public service professionals reflecting confidence in my leadership and professionalism. I remain committed to serving with integrity, accountability, and respect for every taxpayer. I would be honored to continue serving as your County Assessor.","https://ballotpedia.org/John_A._Rosenau_(Franklin_County_Assessor,_Washington,_candidate_2026)"
John A Rosenau,Franklin County Assessor,Franklin County,3,What areas of public policy are you personally passionate about?,Tax reform in the State of Washington which emphasizes fair taxation to all individuals.,"https://ballotpedia.org/John_A._Rosenau_(Franklin_County_Assessor,_Washington,_candidate_2026)"
John A Rosenau,Franklin County Assessor,Franklin County,4,What organizations or individuals have endorsed your campaign?,"35 Elected County Assessors throughout the State of Washington have Endorsed me for Re-Election Dozens of Professionals, Current and Former Elected Officials support my Re-Election Appraisers Union Local 2658 F AFSCME AFL-CIO Endorses me for Re-Election","https://ballotpedia.org/John_A._Rosenau_(Franklin_County_Assessor,_Washington,_candidate_2026)"
Kyle Palmer,16th District Representative Pos 1,Franklin County,1,Who are you? Tell us about yourself.,"I am a third-generation Richland resident, husband, father, former Chair of the Richland Planning Commission, and a professional in the real estate industry. My work has given me firsthand insight into the housing, economic, and growth challenges facing communities throughout the Mid-Columbia. My background includes service with AmeriCorps, a degree in Social Sciences from Washington State University, graduate studies in real estate development at Portland State University, and years of community leadership. I am running for the Washington House because I believe government should focus less on partisan conflict and more on solving problems that improve people’s daily lives.",https://ballotpedia.org/Kyle_Palmer
Kyle Palmer,16th District Representative Pos 1,Franklin County,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"The Mid-Columbia is growing, and we need to prepare for it instead of reacting to it. My priorities include increasing housing supply, expanding affordable childcare, strengthening infrastructure, supporting agriculture, and responsibly developing advanced energy. We have an opportunity to create good-paying jobs while protecting the quality of life that makes this region a great place to live.I believe elected officials should spend more time listening than arguing. My experience in local government taught me that durable solutions come from bringing people together, understanding the facts, and finding common ground. I will work with anyone, regardless of party, who is serious about improving our communities and delivering results for the people of the 16th District.Washington should be a place where families can afford to live, businesses can grow, and the next generation has the opportunity to build a future here. Government should be accountable for the results it delivers, not just the money it spends. Every public investment should have clear goals, measurable outcomes, and regular review so taxpayers know what is working and what needs to change. I believe we can support innovation, grow our economy, and be responsible stewards of public resources at the same time.",https://ballotpedia.org/Kyle_Palmer
Kyle Palmer,16th District Representative Pos 1,Franklin County,3,What areas of public policy are you personally passionate about?,"I am passionate about preparing for the future demand for reliable, affordable power. Data centers, advanced manufacturing, and growing communities will require far more energy in the years ahead. We should lead in developing and deploying advanced nuclear technology, including small modular reactors, to meet this demand with clean, safe, American-made energy. By planning ahead today, we can create good-paying jobs, strengthen our economy, and ensure Washington has the reliable energy needed for future generations.",https://ballotpedia.org/Kyle_Palmer
David Tveraas,Richland City Council Pos 4,Richland,1,Who are you? Tell us about yourself.,"I’m a U.S. Air Force Veteran, IT Professional, and Video Game Developer. I live in the center of Richland, close to Howard Amon Park, where I take frequent walks along the beautiful Columbia River waterfront. I hope to combine my professional expertise with my great appreciation for Richland to bring prosperity to all Richlanders. Richland residents have often mentioned their concerns over our city’s growth. Richland continues to grow requiring management and planning decisions. Richlanders tell me they are not seeing clear communication on what these plans are and how they affect their families, roads and traffic flow, schools, utilities, and communities. I will bring more transparency to the public and make sure Richland’s livability and safety are top priorities. Another prime concern I hear from Richlanders is the potential consequences of the incoming data center and fertilizer plant. They voice that jobs are welcome, yet the possibility of rising utility costs, environmental and noise pollution, and additional stress on already limited housing outweighing the benefits worry many. It is the City Council’s duty to ensure the public is aware of all the details, gives the public a chance to meaningfully contribute to the discussion, and to only act in the interest of Richlanders. I believe Richlanders deserve safety, prosperity, clean parks, and reasonable traffic flow. If the people of Richland will have me, I would be humbled to serve as their Council Member.","https://ballotpedia.org/David_Tveraas_(Richland_City_Council_Position_4,_Washington,_candidate_2026)"
David Tveraas,Richland City Council Pos 4,Richland,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"Richlanders deserve a prosperous environment, in which they can live, work, and thrive, with safety and health. Richlanders should be part of the conversation, and their opinions should matter for how Richland grows. Recently, a Data Center and Fertilizer Plant received unanimous approval by the city council without fair warning of the potential consequences of environmental and noise pollution, increased traffic congestion, and surging utilities bills. Richland is our home and we deserve to know more. I will demand much more transparency from the City Council if I am elected.Transparency is only the beginning. I want the great people of Richland to have the opportunity to have their voices heard on matters of their own community. The residents of Richland deserve the chance to choose their own fates and prosper. I will make sure the council hears testimonials from the public, even those who cannot attend meetings. Community involvement is incredibly important, and I see the role of the Council is to advocate for the people of Richland.The safety of our community is non-negotiable. The Council needs to do better when it comes to community services, law enforcement, clean parks, and orderly traffic. We have lost many lives, including young lives, to auto collisions and easily preventable circumstances. If elected, I will publicly declare the actions the Council takes to reduce incidents and keep us all honest with actual statistics for evidence of policy effectiveness. And if our policies are not making a positive difference, we will course correct using evidence-based decision making.","https://ballotpedia.org/David_Tveraas_(Richland_City_Council_Position_4,_Washington,_candidate_2026)"
